GO_ID,GO_Description,GO_Category,Ontology,Suggested_Category,Final_Category,Notes,Final_Category_Split,Final_Category_Full_Split
GO:0051536,iron-sulfur cluster binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004451,isocitrate lyase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008299,isoprenoid biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0042180,ketone metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0031640,killing of cells of another organism,biological_process,BP,REVIEW,Defense,NA,Stress Response,Stress Response
GO:0140825,lactoperoxidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006691,leukotriene metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0009809,lignin biosynthetic process,biological_process,BP,Defense,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0046274,lignin catabolic process,biological_process,BP,Defense,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0009808,lignin metabolic process,biological_process,BP,Defense,Defense,NA,Secondary Metabolites,Secondary Metabolites
GO:0016298,lipase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016042,lipid catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0034440,lipid oxidation,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0005319,lipid transporter activity,molecular_function,MF,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0009085,lysine biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0016851,magnesium chelatase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0046406,magnesium protoporphyrin IX methyltransferase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0048529,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity,molecular_function,MF,Defense,Metabolism,NA,Metabolism,Biosynthesis
GO:0004474,malate synthase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0071423,malate transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0015140,malate transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0007142,male meiosis II,biological_process,BP,REVIEW,Growth,NA,Growth,Growth
GO:0030145,manganese ion binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0030187,melatonin biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0009234,menaquinone biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0046873,metal ion transmembrane transporter activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0030001,metal ion transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0030983,mismatched DNA binding,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0051560,mitochondrial calcium ion homeostasis,biological_process,BP,REVIEW,Defense,NA,Stress Response,Stress Response
GO:0072686,mitotic spindle,cellular_component,CC,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0098656,monoatomic anion transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0006820,monoatomic anion transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0015718,monocarboxylic acid transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
